Cinnamomum cassia
Cinnamomum glanduliferum
Cinnamomum glaucescens
Cinnamomum porrectum
Cinnamomum sulphuratum
Cinnamomum tamala
Cinnamomum verum
Cirsium arvense
Cirsium japonicum
Cissampelos pareira
Cissus adnata
Cissus arnottiana
Cistus creticus
Citrullus colocynthis
Citrullus lanatus
Citrus aurantiifolia
Citrus aurantium
Citrus jambhiri
Citrus japonica
Citrus latifolia
Citrus limon
Citrus maxima
Citrus medica
Citrus nobilis
Citrus paradisi
Citrus reticulata
Citrus sinensis
Citrus trifoliata
Clausena anisata
Clausena excavata
Clausena indica
Clausena kanpurensis
Clausena lansium
Cleistanthus collinus
Cleistanthus monoicus
Clematis barbellata
Clematis brachiata
Clematis florida
Clematis gouriana
Clematis montana
Clematis orientalis
Cleome brachycarpa
Cleome gynandra
Cleome simplicifolia
Clerodendrum phlomidis
Clerodendrum volubile
Clinopodium bolivianum
Clinopodium brownei
Clinopodium gilliesii
Clinopodium graveolens
Clinopodium nepeta
Clinopodium odorum
Clinopodium serpyllifolium
Clinopodium vimineum
Clitoria mariana
Clitoria ternatea
Clivia miniata
Cnidium monnieri
Coccinia grandis
Cocculus laurifolius
Cocos nucifera
Codariocalyx motorius
Codiaeum variegatum
Coelogyne ovalis
Coelogyne stricta
Coffea arabica
Coffea canephora
Coix lacryma-jobi
Cola acuminata
Colchicum luteum
Coleus forskohlii
Colocasia esculenta
Colophospermum mopane
Colubrina asiatica
Combretum indicum
Commelina communis
Commiphora caudata
Connarus monocarpus
Consolida ajacis
Consolida regalis
Convallaria majalis
Conyza leucantha
Coptis teeta
Corchorus aestuans
Corchorus capsularis
Corchorus olitorius
Cordia sebestena
Cordia sinensis
Coreopsis tinctoria
Coriandrum sativum
Cornus capitata
Corydalis cornuta
Corydalis govaniana
Corydalis meifolia
Corydalis ophiocarpa
Corydalis stricta
Corydalis vaginans
Corylus avellana
Corymbia calophylla
Corymbia citriodora
Corymbia maculata
Corymbia torelliana
Coscinium fenestratum
Cotinus coggygria
Crambe hispanica
Crateva religiosa
Cressa cretica
Crinum amabile
Crinum latifolium
Crinum lorifolium
Crithmum maritimum
Crocus sativus
Crotalaria barbata
Crotalaria burhia
Crotalaria juncea
Crotalaria laburnifolia
Crotalaria medicaginea
Crotalaria retusa
Crotalaria rubiginosa
Crotalaria scabrella
Crotalaria verrucosa
Croton persimilis
Croton sublyratus
Croton tiglium
Cryptolepis dubia
Cryptomeria japonica
Cryptostegia grandiflora
Cucumis melo
Cucumis sativus
Cucurbita maxima
Cucurbita moschata
Cucurbita pepo
Cullen corylifolium
Cullen plicatum
Cuminum cyminum
Cunninghamia lanceolata
Cupressus cashmeriana
Cupressus funebris
Cupressus lusitanica
Cupressus macrocarpa
Cupressus sempervirens
Cupressus torulosa
Curculigo orchioides
Curcuma aeruginosa
Curcuma amada
Curcuma angustifolia
Curcuma aromatica
Curcuma caesia
Curcuma longa
Curcuma mangga
Curcuma zanthorrhiza
Curcuma zedoaria
Cuscuta europaea
Cuscuta reflexa
Cyamopsis tetragonoloba
Cyanthillium cinereum
Cyanus segetum
Cyathocline purpurea
Cycas revoluta
Cydonia oblonga
Cymbidium aloifolium
Cymbopogon caesius
Cymbopogon citratus
Cymbopogon coloratus
Cymbopogon distans
Cymbopogon flexuosus
Cymbopogon jwarancusa
Cymbopogon khasianus
Cymbopogon martini
Cymbopogon microstachys
Cymbopogon nardus
Cymbopogon schoenanthus
Cymbopogon winterianus
Cynara scolymus
Cynodon dactylon
Cyperus articulatus
Cyperus difformis
Cyperus distans
Cyperus esculentus
Cyperus rotundus
Cyperus scariosus
Cytisus scoparius
Dactylicapnos macrocapnos
Dactylicapnos scandens
Dalbergia lanceolaria
Dalbergia sissoides
Dalbergia sissoo
Daphne oleoides
Datura innoxia
Datura quercifolia
Datura stramonium
Daucus carota
Daucus sativus
Decalepis hamiltonii
Delonix elata
Delphinium caeruleum
Delphinium cashmerianum
Delphinium denudatum
Delphinium semibarbatum
Delphinium staphisagria
Delphinium vestitum
Delphinium zalil
Dendrobium amoenum
Dendrobium densiflorum
Dendrobium nobile
Dendrolobium triangulare
Dendrophthoe falcata
Derris elliptica
Derris malaccensis
Desmodium elegans
Desmodium gangeticum
Desmodium laxiflorum
Desmodium triflorum
Desmos chinensis
Dianella ensifolia
Dianthus caryophyllus
Dianthus chinensis
Dicentra canadensis
Dichroa febrifuga
Dichrocephala integrifolia
Dicoma tomentosa
Dicranostigma lactucoides
Digitalis lanata
Digitalis purpurea
Dillenia pentagyna
Dimocarpus longan
Diospyros malabarica
Diospyros melanoxylon
Diplazium esculentum
Diploclisia glaucescens
Dipsacus fullonum
Dittrichia graveolens
Dodonaea viscosa
Dorema ammoniacum
Dovyalis caffra
Dracocephalum moldavica
Drimia indica
Drimia maritima
Drimys winteri
Drymaria cordata
Durio zibethinus
Dysosma aurantiocaulis
Dysphania ambrosioides
Dysphania botrys
Ecballium elaterium
Ecbolium viride
Echinacea angustifolia
Echinops niveus
Eclipta prostrata
Edgeworthia gardneri
Edgeworthia tomentosa
Eichhornia crassipes
Elaeagnus rhamnoides
Elaeocarpus serratus
Eleocharis dulcis
Elettaria cardamomum
Eleusine coracana
Eleusine indica
Eleutherococcus trifoliatus
Elsholtzia blanda
Elsholtzia ciliata
Elsholtzia densa
Elsholtzia fruticosa
Elytraria acaulis
Embelia ribes
Emex spinosa
Emilia sonchifolia
Endosamara racemosa
Endostemon viscosus
Enicostema axillare
Entada rheedii
Enydra fluctuans
Ephedra equisetina
Ephedra major
Ephedra sinica
Epilobium angustifolium
Equisetum palustre
Eranthemum roseum
Erigeron aegyptiacus
Erigeron bonariensis
Erigeron canadensis
Eriobotrya japonica
Eruca vesicaria
Eryngium caeruleum
Eryngium foetidum
Erysimum repandum
Erythrina arborescens
Erythrina crista-galli
Erythrina fusca
Erythrina stricta
Erythrina suberosa
Erythrina subumbrans
Erythrina variegata
Erythroxylum coca
Eschscholzia californica
Eucalyptus alba
Eucalyptus albens
Eucalyptus astringens
Eucalyptus baueriana
Eucalyptus camaldulensis
Eucalyptus cinerea
Eucalyptus crebra
Eucalyptus dealbata
Eucalyptus deglupta
Eucalyptus exserta
Eucalyptus foecunda
Eucalyptus globulus
Eucalyptus grandis
Eucalyptus leucoxylon
Eucalyptus macarthurii
Eucalyptus macrocarpa
Eucalyptus melanophloia
Eucalyptus melliodora
Eucalyptus microtheca
Eucalyptus moluccana
Eucalyptus polyanthemos
Eucalyptus pulverulenta
Eucalyptus resinifera
Eucalyptus robusta
Eucalyptus saligna
Eucalyptus sideroxylon
Eucalyptus smithii
Eucalyptus staigeriana
Eucalyptus tereticornis
Eucalyptus urophylla
Eucalyptus viridis
Eugenia uniflora
Euodia glabrifolia
Euonymus atropurpureus
Euonymus hamiltonianus
Euonymus lucidus
Eupatorium cannabinum
Euphorbia helioscopia
Euphorbia hirta
Euphorbia lathyris
Euphorbia pulcherrima
Euphorbia rothiana
Euphorbia royleana
Euphorbia thymifolia
Euphorbia tirucalli
Euryale ferox
Excoecaria agallocha
Fagopyrum acutatum
Fagopyrum esculentum
Faidherbia albida
Feronia limonia
Ferula alliacea
Ferula assa-foetida
Ferula foetida
Ferula jaeschkeana
Ferula moschata
Ferula ovina
Ferula persica
Festuca arundinacea
Ficus auriculata
Ficus benghalensis
Ficus carica
Ficus exasperata
Ficus septica
Filicium decipiens
Firmiana colorata
Firmiana simplex
Flacourtia indica
Flemingia macrophylla
Flemingia strobilifera
Fleurya interrupta
Flueggea leucopyrus
Flueggea virosa
Foeniculum vulgare
Forsythia viridissima
Fragaria vesca
Frangula purshiana
Fraxinus excelsior
Fraxinus ornus
Fritillaria imperialis
Fumana thymifolia
Fumaria indica
Fumaria officinalis
Fumaria parviflora
Fumaria vaillantii
Galeopsis tetrahit
Galinsoga quadriradiata
Galium aparine
Galium verum
Garcinia atroviridis
Garcinia dulcis
Garcinia indica
Garcinia mangostana
Garcinia morella
Gardenia jasminoides
Garuga pinnata
Gentiana lutea
Geranium robertianum
Geranium wallichianum
Getonia floribunda
Geum macrophyllum
Geum urbanum
Ginkgo biloba
Gisekia pharnaceoides
Glebionis coronaria
Gleditsia triacanthos
Glinus lotoides
Glinus oppositifolius
Gliricidia sepium
Globba marantina
Gloriosa superba
Glycine max
Glycosmis pentaphylla
Glycyrrhiza glabra
Glycyrrhiza uralensis
Gmelina arborea
Gnaphalium pensylvanicum
Gnetum gnemon
Gnetum ula
Goniothalamus wightii
Gossypium barbadense
Gossypium hirsutum
Grangea maderaspatana
Grewia asiatica
Guazuma ulmifolia
Guizotia abyssinica
Gymnema sylvestre
Gymnosporia emarginata
Gymnosporia montana
Gymnosporia senegalensis
Gymnosporia spinosa
Gynocardia odorata
Gynostemma pentaphyllum
Haldina cordifolia
Halophila ovalis
Haloxylon salicornicum
Hamelia patens
Handroanthus impetiginosus
Hardwickia binata
Hedera helix
Hedera nepalensis
Hedera rhombea
Hedychium coccineum
Hedychium coronarium
Hedychium longicornutum
Hedychium spicatum
Helianthus annuus
Helianthus tuberosus
Helichrysum odoratissimum
Helicteres isora
Heliotropium indicum
Helleborus niger
Helleborus viridis
Hemerocallis fulva
Hemidesmus indicus
Hemidictyum ceterach
Heracleum candicans
Heracleum candolleanum
Heracleum lanatum
Heracleum nepalense
Heracleum thomsonii
Heracleum wallichii
Hernandia guianensis
Hernandia nymphaeifolia
Herniaria glabra
Herniaria hirsuta
Herpetospermum pedunculosum
Hesperethusa crenulata
Hevea brasiliensis
Hibiscus cannabinus
Hibiscus micranthus
Hibiscus rosa-sinensis
Hibiscus sabdariffa
Hibiscus surattensis
Hibiscus syriacus
Hibiscus tilliaceus
Hierochloe odorata
Himalaiella heteromalla
Holarrhena mitis
Holarrhena pubescens
Holigarna arnottiana
Holmskioldia sanguinea
Holoptelea integrifolia
Homonoia riparia
Hoppea dichotoma
Hordeum vulgare
Houttuynia cordata
Hunnemannia fumariifolia
Hydnocarpus alpina
Hydnocarpus anthelminthica
Hydnocarpus kurzii
Hydnocarpus wightianus
Hydrangea macrophylla
Hydrocotyle javanica
Hygrophila polysperma
Hymenocallis littoralis
Hymenodictyon orixense
Hyoscyamus muticus
Hyoscyamus niger
Hypecoum leptocarpum
Hypecoum pendulum
Hypecoum procumbens
Hypericum calycinum
Hypericum elodeoides
Hypericum japonicum
Hypericum monogynum
Hypericum olympicum
Hypericum patulum
Hypericum perforatum
Hyphaene dichotoma
Hypodematium crenatum
Hyptis capitata
Hyptis pectinata
Hyptis suaveolens
Hyssopus officinalis
Ichnocarpus frutescens
Ilex aquifolium
Illicium griffithii
Illicium verum
Impatiens balsamina
Imperata cylindrica
Indigofera linnaei
Indigofera tinctoria
Indigofera wightii
Indoneesiella echioides
Inula cappa
Inula cuspidata
Inula grantioides
Inula helenium
Inula obtusifolia
Inula racemosa
Inula royleana
Ipomoea aquatica
Ipomoea arachnosperma
Ipomoea batatas
Ipomoea carnea
Ipomoea dichroa
Ipomoea nil
Ipomoea obscura
Ipomoea pes-caprae
Ipomoea pes-tigridis
Ipomoea purpurea
Ipomoea quamoclit
Iris domestica
Iris germanica
Iris pseudacorus
Isatis tinctoria
Isodon melissoides
Isodon rugosus
Ixora coccinea
Ixora pavetta
Jacaranda mimosifolia
Jasminum azoricum
Jasminum flexile
Jasminum grandiflorum
Jasminum multiflorum
Jasminum odoratissimum
Jasminum officinale
Jasminum sambac
Jatropha curcas
Jatropha glandulifera
Jatropha gossypiifolia
Juglans regia
Juncus effusus
Juniperus chinensis
Juniperus communis
Juniperus excelsa
Juniperus indica
Juniperus phoenicea
Juniperus polycarpos
Juniperus recurva
Juniperus rigida
Juniperus semiglobosa
Justicia adhatoda
Justicia betonica
Justicia japonica
Justicia procumbens
Justicia tranquebariensis
Kaempferia galanga
Kaempferia rotunda
Kalanchoe integra
Kalanchoe laciniata
Kandelia candel
Khaya senegalensis
Kigelia africana
Knema attenuata
Kopsia fruticosa
Krameria lappacea
Kyllinga brevifolia
Lactuca sativa
Lactuca serriola
Lactuca virosa
Lagenaria siceraria
Lagerstroemia speciosa
Laggera aurita
Lallemantia royleana
Lamium album
Lamprocapnos spectabilis
Lannea acida
Lantana camara
Lantana indica
Lathyrus odoratus
Lathyrus sativus
Launaea aspleniifolia
Laurus nobilis
Lavandula angustifolia
Lavandula intermedia
Lavandula stoechas
Lawsonia inermis
Ledebouria revoluta
Lens culinaris
Leonotis nepetifolia
Leonurus japonicus
Leonurus sibiricus
Lepidagathis cuspidata
Lepidium didymum
Lepidium draba
Lepidium latifolium
Lepidium sativum
Leptospermum petersonii
Leptospermum scoparium
Leucaena leucocephala
Leucanthemum vulgare
Leucas aspera
Ligusticum porteri
Ligustrum japonicum
Ligustrum lucidum
Ligustrum perrottetii
Ligustrum robustum
Limnophila aromatica
Limonia acidissima
Limonia elephantum
Linum perenne
Linum usitatissimum
Lippia alba
Lippia javanica
Liquidambar orientalis
Liquidambar styraciflua
Liriodendron tulipifera
Litchi chinensis
Lithocarpus pachyphyllus
Litsea cubeba
Litsea glutinosa
Litsea monopetala
Lolium temulentum
Lonicera hypoleuca
Lonicera japonica
Luffa acutangula
Luffa cylindrica
Luffa echinata
Luma chequen
Lupinus albus
Luvunga scandens
Lycopersicon esculentum
Lycopersicon lycopersicum
Lycopodium clavatum
Lycopodium obscurum
Lycopus europaeus
Lycoris radiata
Lyonia ovalifolia
Machilus gamblei
Machilus glaucescens
Maclura pomifera
Madhuca longifolia
Maesa indica
Magnolia champaca
Magnolia grandiflora
Magnolia obovata
Majidea zanguebarica
Mallotus philippensis
Mallotus repandus
Malpighia glabra
Malus pumila
Malus sylvestris
Malva parviflora
Malva sylvestris
Malvastrum coromandelianum
Mammea americana
Mammea suriga
Mandragora officinalis
Mangifera indica
Manihot esculenta
Manilkara hexandra
Manilkara zapota
Maranta arundinacea
Marrubium vulgare
Marsdenia tenacissima
Marsilea minuta
Marsilea quadrifolia
Martynia annua
Matricaria chamomilla
Meconopsis aculeata
Medicago sativa
Melaleuca leucadendra
Melastoma malabathricum
Melia azedarach
Melilotus indicus
Melilotus officinalis
Melissa officinalis
Memecylon edule
Memecylon umbellatum
Mentha arvensis
Mentha longifolia
Mentha piperita
Mentha pulegium
Mentha rotundifolia
Mentha spicata
Merremia aegyptia
Mesua ferrea
Micromeria biflora
Mikania cordata
Mikania scandens
Millettia peguensis
Mimosa pudica
Mimosa rubicaulis
Mimusops elengi
Mirabilis jalapa
Mitragyna parvifolia
Molineria capitulata
Mollugo pentaphylla
Momordica charantia
Momordica cochinchinensis
Momordica dioica
Morinda angustifolia
Morinda citrifolia
Morinda pubescens
Moringa concanensis
Moringa oleifera
Morus alba
Moullava spicata
Mucuna pruriens
Mukia maderaspatana
Mundulea sericea
Muntingia calabura
Murraya koenigii
Murraya paniculata
Musa acuminata
Musa paradisiaca
Myrica esculenta
Myristica dactyloides
Myristica fragrans
Myristica malabarica
Myrsine africana
Myrtus communis
Nandina domestica
Narcissus tazetta
Nardostachys jatamansi
Naringi crenulata
Nasturtium officinale
Nelumbo nucifera
Neolitsea pallens
Neolitsea zeylanica
Neonauclea purpurea
Nepeta cataria
Nepeta eriostachya
Nepeta govaniana
Nepeta hindostana
Nepeta multifida
Nepeta nuda
Nepeta persica
Nephrolepis cordifolia
Nephrolepis tuberosa
Nerium oleander
Neuracanthus sphaerostachys
Nicotiana tabacum
Nigella damascena
Nigella sativa
Nyctanthes arbor-tristis
Ochna obtusata
Ocimum africanum
Ocimum americanum
Ocimum basilicum
Ocimum campechianum
Ocimum filamentosum
Ocimum gratissimum
Ocimum kilimandscharicum
Ocimum tenuiflorum
Oenanthe javanica
Oldenlandia biflora
Oldenlandia diffusa
Olea europaea
Onosma echioides
Operculina turpethum
Ophiopogon japonicus
Opopanax chironium
Opuntia dillenii
Opuntia ficus-indica
Origanum majorana
Origanum onites
Origanum vulgare
Ormocarpum sennoides
Oroxylum indicum
Orthosiphon thymiflorus
Oryza sativa
Osmanthus fragrans
Osmunda regalis
Oxytropis kansuensis
Pachira aquatica
Paederia foetida
Paeonia emodi
Panax ginseng
Panax pseudoginseng
Panax quinquefolius
Pancratium zeylanicum
Pandanus amaryllifolius
Pandanus odorifer
Panicum miliaceum
Papaver argemone
Papaver dubium
Papaver hybridum
Papaver orientale
Papaver rhoeas
Papaver somniferum
Paris polyphylla
Parkia biglandulosa
Parkinsonia aculeata
Parsonsia alboflavescens
Parthenium hysterophorus
Passiflora edulis
Passiflora foetida
Pastinaca sativa
Pedalium murex
Peganum harmala
Pelargonium graveolens
Pelargonium reniforme
Pelargonium roseum
Peltophorum pterocarpum
Pergularia daemia
Perilla frutescens
Perovskia abrotanoides
Persea americana
Persicaria amplexicaulis
Persicaria bistorta
Persicaria glabra
Persicaria hydropiper
Persicaria lapathifolia
Persicaria maculosa
Persicaria pulchra
Persicaria vivipara
Petiveria alliacea
Petroselinum crispum
Peucedanum grande
Peucedanum officinale
Phaseolus vulgaris
Phoenix dactylifera
Phoenix sylvestris
Phyllanthus acidus
Phyllanthus amarus
Phyllanthus emblica
Phyllanthus fraternus
Physalis peruviana
Physostigma venenosum
Picea abies
Picrasma quassioides
Picrorhiza kurroa
Pimenta racemosa
Pimpinella acuminata
Pimpinella anisum
Pimpinella saxifraga
Pinda concanensis
Pinus canariensis
Pinus gerardiana
Pinus kesiya
Pinus massoniana
Pinus merkusii
Pinus pinaster
Pinus roxburghii
Pinus sylvestris
Pinus taeda
Pinus wallichiana
Piper aduncum
Piper attenuatum
Piper bantamense
Piper betle
Piper cubeba
Piper longum
Piper mullesua
Piper nigrum
Piper retrofractum
Piper schmidtii
Pistacia chinensis
Pistacia khinjuk
Pistacia lentiscus
Pistacia terebinthus
Pistacia vera
Pisum sativum
Pithecellobium dulce
Plantago afra
Plantago asiatica
Plantago lanceolata
Plantago major
Plantago ovata
Platanus orientalis
Platycladus orientalis
Plectranthus amboinicus
Plectranthus barbatus
Plectranthus glabratus
Plectranthus mollis
Plectranthus scutellarioides
Pleiospermium alatum
Pleurospermum angelicoides
Pluchea lanceolata
Plumbago indica
Plumbago zeylanica
Plumeria rubra
Poeciloneuron indicum
Pogostemon cablin
Pogostemon heyneanus
Polianthes tuberosa
Polyalthia longifolia
Polygala arvensis
Polygala chinensis
Polygala senega
Polygala sibirica
Polygonatum cirrhifolium
Polygonum aviculare
Polygonum perfoliatum
Polygonum suffultum
Polypodium vulgare
Pongamia pinnata
Populus alba
Populus deltoides
Populus nigra
Portulaca oleracea
Portulaca pilosa
Pourouma guianensis
Praecitrullus fistulosus
Premna herbacea
Premna mollissima
Premna serratifolia
Primula macrophylla
Prosopis chilensis
Prosopis cineraria
Prunella vulgaris
Prunus armeniaca
Prunus avium
Prunus cerasoides
Prunus cerasus
Prunus domestica
Prunus dulcis
Prunus mahaleb
Prunus persica
Pseudotsuga menziesii
Psidium guajava
Psophocarpus tetragonolobus
Pterocarpus macrocarpus
